"SN_APD_QA","QA_RESPONSE_CD","QA_RESPONSE_TXT"
"-235453","N/A",""
"-235454","Y","GMG 290103"
"-235455","N/A","Subsea well"
"-235456","N",""
"-251017","Y","Greenlight V.2.0"
"-251018","Y",""
"-251019","Y",""
"-251020","Y",""
"-251021","N/A",""
"-251022","Y","NPDES Permit #GMG 290132"
"-251023","N/A",""
"-251024","N",""
"-251025","Y","IPT SureTec Digital BOP Test Method Version 4.0, or latest approved version."
"-251106","Y",""
"-251107","Y",""
"-251108","N/A",""
"-251109","N/A",""
"-251110","Y","GMG 290103"
"-251111","N/A","Subsea Well"
"-251112","N",""
"-251113","Y","EZ Chart V2. Also, please see email ""a2. EZ Chart Low Pressure Test Update - NGTI and NGTII 7.17.2020"" regarding update to the EZ Chart pressure test criterion for the LOW Pressure test."
"-251114","Y",""
"-251115","Y",""
"-251116","Y",""
"-251117","N/A",""
"-251118","Y","GMG 290006"
"-251119","N/A","Subsea Well"
"-251120","N",""
"-251121","N/A","Top set well - no BOPs being used at this time."
"-251122","Y",""
"-251123","Y",""
"-251124","N/A",""
"-251125","N/A",""
"-251126","Y","GMG290615"
"-251127","Y",""
"-251128","N",""
"-251129","Y","Greenlight V2.0"
"-251130","Y",""
"-251131","Y",""
"-251132","Y",""
"-251098","Y",""
"-251099","Y",""
"-251100","N/A",""
"-251101","N/A",""
"-251102","Y","GMG290376"
"-251103","N","A05, A-17, & A-21 will be shut in as per the attached approval"
"-251104","N",""
"-251105","Y","OTC Greenlight 2.0"
"-251138","Y","Sufficient barite to weight up active system 0.5 ppg."
"-251139","Y",""
"-251140","Y",""
"-251141","N/A",""
"-251142","Y","GMG290184"
"-251143","N/A",""
"-251144","N",""
"-251145","Y","SureTec Version 4.0"
"-251146","Y",""
"-251147","N","Cuttings will be discharged per EPA discharge permit"
"-251148","N/A","Sidetrack"
"-251149","N/A",""
"-251150","Y","GMG 29062A"
"-251151","N/A","Open Water"
"-251152","N",""
"-251153","Y","OTC Greenlight Version 2.0 or higher"
"-251154","Y",""
"-251155","Y",""
"-251156","N/A",""
"-251157","N/A",""
"-251158","Y","GMG290376"
"-251159","N","A-5, A-17, and A-21 will be shut in as per the attached approval"
"-251160","N",""
"-251161","Y","OTC Greenlight 2.0"
"-251168","N",""
"-251169","Y","EZ Chart V2. Also, please see email ""a2. EZ Chart Low Pressure Test Update - NGTI and NGTII 7.17.2020"" regarding update to the EZ Chart pressure test criterion for the LOW Pressure test."
"-251298","Y",""
"-234535","Y",""
"-234536","N",""
"-234537","Y","IPT SureTec Version 4"
"-237103","Y",""
"-237104","Y",""
"-237105","N/A",""
"-237106","Y","NPDES Permit #GMG 290132"
"-237107","N/A",""
"-237108","N",""
"-237109","Y","IPT SureTec Digital BOP Test Method Version 4.0, or latest approved version."
"-237162","Y",""
"-237002","Y","Sufficient barite to weight up active system 0.5 ppg"
"-237003","Y",""
"-237004","Y",""
"-237005","N/A",""
"-237006","Y","GMG290184"
"-237007","N/A",""
"-237008","N",""
"-237009","Y","Suretec Version 4.0"
"-237102","Y",""
"-237163","Y",""
"-237164","Y",""
"-237165","N/A",""
"-237166","Y","GMG290103"
"-237167","N/A","Subsea well"
"-237168","N",""
"-237169","Y","EZ Chart V2"
"-237182","Y",""
"-237183","Y",""
"-237184","Y",""
"-237185","N/A",""
"-237186","Y","NPDES Permit #GMG 290132"
"-237187","N/A",""
"-237188","N",""
"-237189","Y","IPT SureTec Digital BOP Test Method Version 4.0, or latest approved version."
"-239262","Y",""
"-235457","Y","EZ Chart V2. Also, please see email ""a2. EZ Chart Low Pressure Test Update - NGTI and NGTII 7.17.2020"" regarding update to the EZ Chart pressure test criterion for the LOW Pressure BOP tests."
"-235602","Y","Sufficient barite to weight up active system 0.5 ppg"
"-235603","Y",""
"-235604","Y",""
"-235605","N/A",""
"-235606","Y","GMG290184"
"-235607","N/A",""
"-235608","N",""
"-235609","Y","SureTec Version 4"
"-235942","Y",""
"-235943","Y",""
"-235944","N/A",""
"-235945","N/A",""
"-235946","Y","GMG290376"
"-235947","N","A05, A-17, & A-21 will be shut in as per the attached approval"
"-235948","N",""
"-235949","Y","OTC Greenlight 2.0"
"-237122","Y",""
"-237123","N/A",""
"-237124","N/A",""
"-237125","Y","See Conductor Waiver Attachment"
"-237126","Y","GMG 290269"
"-237127","Y",""
"-237128","N",""
"-237129","Y","IPT SureTec Version 4"
"-237545","N/A",""
"-237546","Y","GMG 290376"
"-237547","N/A",""
"-237548","N",""
"-237549","Y","Aquila Pressure Testing Software"
"-237630","Y",""
"-237631","Y",""
"-237632","Y",""
"-237542","Y",""
"-237543","Y",""
"-237544","Y",""
"-251299","Y",""
"-251300","Y",""
"-251301","N/A",""
"-251322","Y","GMG290103"
"-251323","N/A","SS well"
"-251324","N",""
"-251325","Y","EZ Chart V2"
"-251326","Y","A minimum of 1000 sxs barite and 200 sxs of gel will be maintained on the MODU during drilling operations."
"-251327","Y",""
"-251328","N/A",""
"-251329","N/A",""
"-251330","Y","GMG290601"
"-251331","Y",""
"-251332","N",""
"-251333","Y","Greenlight V.2.0"
"-251334","Y",""
"-251335","Y",""
"-251336","N/A",""
"-251337","N/A",""
"-251338","Y","GMG 290103"
"-251339","N/A",""
"-251340","N",""
"-251341","Y","EZ Chart Version 2"
"-251583","Y",""
"-251584","N/A",""
"-251585","N/A",""
"-251586","Y","GMG290615"
"-251587","Y",""
"-251588","N",""
"-251589","Y","OTC V2.0"
"-251454","Y",""
"-251455","Y",""
"-251456","Y",""
"-251457","N/A",""
"-251458","Y","GMG290110"
"-251459","N/A","Subsea Well"
"-251582","Y",""
"-232462","Y",""
"-232463","N/A",""
"-232464","N/A",""
"-232465","Y","See Conductor Waiver Request Attachment"
"-232466","Y","GMG 290269"
"-232467","Y",""
"-232468","N",""
"-232469","Y","IPT SureTec Version 4"
"-232470","Y",""
"-232471","Y",""
"-232472","Y",""
"-232473","N/A",""
"-232474","Y","NPDES Permit #GMG 290132"
"-232475","N/A",""
"-232476","N",""
"-232477","Y","IPT SureTec Digital BOP Test Method Version 4.0, or latest approved version."
"-232570","Y",""
"-232571","Y",""
"-232572","N/A",""
"-232573","N/A",""
"-232574","Y","GMG 290312"
"-232575","N/A",""
"-232576","N",""
"-232577","Y","IPT SureTec"
"-233282","Y",""
"-233283","Y",""
"-233284","Y",""
"-233285","N/A",""
"-233286","Y","NPDES Permit #GMG 290132"
"-233287","N","Please see attachment ""Response to NTL 2009-G25"""
"-233288","N",""
"-233289","Y","IPT Suretec Digital BOP Test Method Version 4.0, or latest approved version."
"-233378","Y",""
"-233379","Y","Mud will be disposed of consistent with the applicable GMG 290103 permit "
"-233380","N/A",""
"-233381","N/A",""
"-239263","Y",""
"-239264","Y",""
"-239265","N/A","Subsea Well. No Conductor to be used."
"-239266","Y","GMG290089"
"-239267","N/A",""
"-239268","N",""
"-239269","Y","Aquila Pressure Testing Software"
"-239542","Y",""
"-239543","Y",""
"-239544","N/A",""
"-239545","N/A",""
"-239546","Y","GMG290615"
"-239547","Y",""
"-239548","N",""
"-239549","Y","Greenlight Version 2"
"-239902","Y",""
"-239903","Y",""
"-239904","Y",""
"-239905","N/A",""
"-239906","Y","GMG 290103"
"-251547","Y","SBM cuttings will only be discharged if the
cuttings meet EPA guidelines. If the cuttings fail
to meet NPDES discharge requirements, then
we will go to zero discharge for the cuttings."
"-251548","N/A",""
"-251549","Y",""
"-251550","Y","GMG290553"
"-250797","N/A",""
"-250798","Y","GMG 290269"
"-250799","Y",""
"-250800","N",""
"-250801","Y","IPT SureTec Version 4"
"-251551","N","Received departure FFS through TIMSWEB"
"-246326","Y","GMG290184"
"-246327","N/A",""
"-246328","N",""
"-246329","Y",""
"-246338","Y","Sufficient barite to weight up active system 0.5 ppg."
"-246339","Y",""
"-246340","Y",""
"-246341","N/A",""
"-246342","Y","GMG290184"
"-246343","N/A",""
"-246344","N",""
"-246345","Y",""
"-246378","Y",""
"-246379","Y",""
"-246380","Y",""
"-246381","N/A",""
"-246382","Y","GMG290202"
"-246383","N/A","Subsea with no infrastructure. "
"-246384","N",""
"-246385","Y","Aquila Pressure Testing Software"
"-247724","N",""
"-247725","Y","IPT Suretec V. 4.0"
"-249678","Y",""
"-249679","Y",""
"-249680","N/A",""
"-249681","N/A",""
"-249702","Y","GMG290376"
"-249703","N","A-1, A-4, A-2, A-12, A-10, and A-23 will be shut in as per the attached approval"
"-247718","Y",""
"-247719","Y","Although operations are prepared for zero discharge, we intend to comply with the NPDES general permit requirements"
"-247720","N/A","#14 was top set in 2008.  The 36"" and 20"" riserless sections are already installed."
"-247721","N/A",""
"-247722","Y","GMG 290110"
"-247723","N","Producible wells located in the affected wellbay below the surface and at the wellhead will not be shut-in for rig skids provided that all heavy equipment, such as BOPs, are fully secured on appropriate parking stumps or wellheads.  BP intends to shut in adjacent producible wells during BOP or riser installations at risk of impact should lifting devices fail."
"-252495","N/A","Subsea Well"
"-252496","N",""
"-252497","N/A",""
"-252673","Y","IPT SureTec Version 4"
"-252682","Y",""
"-252683","Y",""
"-252684","N/A","This well was batch set down to the 22"" casing. No further riserless drilling."
"-252685","N/A",""
"-252686","Y","GMG 290103"
"-252687","N","Please see attached approval letter."
"-252688","N",""
"-252689","Y","EZ chart 2.0 or newer"
"-254282","Y",""
"-254283","Y",""
"-254284","Y",""
"-254285","N/A",""
"-254286","Y","GMG 290103"
"-254287","N/A","Subsea Well"
"-254288","N",""
"-254289","Y","EZ Chart 2.0"
"-252758","Y",""
"-252759","Y",""
"-252760","N/A",""
"-252761","N/A",""
"-252782","Y","GMG290620"
"-252783","N/A",""
"-252784","N",""
"-252785","Y","OTC Greenlight Version 2.0"
"-252786","Y",""
"-252787","Y",""
"-252788","Y",""
"-252789","N/A",""
"-252790","Y","NPDES Permit #GMG290132"
"-252791","N","Please see attachment ""Response to NTL 2009-G25""."
"-252792","N",""
"-252793","Y","IPT SureTec Version 4.0 or latest version."
"-252794","Y",""
"-252075","Y",""
"-252076","Y",""
"-252077","N/A",""
"-252078","Y","GMG290184"
"-252079","N/A",""
"-252080","N",""
"-252081","Y","SureTec Version 4.0"
"-252330","Y",""
"-252331","Y",""
"-252332","N/A",""
"-252333","N/A",""
"-252334","Y","GMG290615"
"-252335","Y",""
"-252336","N",""
"-252337","Y","OTC Greenlight 2.0"
"-252354","Y",""
"-252355","Y",""
"-252356","N/A",""
"-252357","N/A",""
"-252358","Y","GMG 290103"
"-252359","N","No, continuous operations from plugback. Also, see attached approval letter."
"-252360","N",""
"-252361","Y","EZ Chart V2"
"-252870","Y",""
"-252871","Y",""
"-252872","Y",""
"-252873","N/A",""
"-252874","Y","GMG 290006"
"-252875","N/A","Subsea Well"
"-252876","N",""
"-252877","N/A",""
"-252978","Y","Sufficient barite to weight up active system 0.5 ppg"
"-252979","Y",""
"-252980","Y",""
"-252981","N/A",""
"-252982","Y","GMG290184"
"-252983","N/A",""
"-251555","Y",""
"-251556","Y",""
"-251552","N",""
"-251553","Y","OTC GreenLight V2.0"
"-251554","Y",""
"-251557","N/A",""
"-251558","Y","GMG 290006"
"-251559","N/A","Subsea Well"
"-251560","N",""
"-251561","N/A","Top set well - no BOPs being used at this time."
"-251728","N",""
"-251729","Y","IPT Global's SureTec, Version 4"
"-251730","Y",""
"-251731","Y",""
"-251732","Y",""
"-251733","N/A",""
"-251734","Y","NPDES Permit #GMG 290132"
"-251735","N/A",""
"-251736","N",""
"-251737","Y","IPT SureTec Digital BOP Test Method Version 4, or latest approved version."
"-251746","Y",""
"-251747","N/A",""
"-251748","Y",""
"-251749","N/A",""
"-251750","Y","GMG 290103"
"-251751","N/A","Subsea Well"
"-251752","N",""
"-251753","N/A","Only riserless work, no BOP required."
"-251770","Y",""
"-249721","Y","IPT Suretec Version 4"
"-250202","Y",""
"-250203","Y",""
"-250204","N/A","This well was batch set down to the 22"" casing. No further riserless drilling planned."
"-250205","N/A",""
"-250206","Y","GMG 290103"
"-250207","N","Please see attached approval letter."
"-250208","N",""
"-249704","N",""
"-249705","Y","OTC Greenlight 2.0"
"-249720","N","The WCD are attached with the WCST"
"-250209","Y","EZ chart 2.0 or newer"
"-250626","Y",""
"-250627","Y",""
"-250628","N/A",""
"-250629","N/A",""
"-250630","Y","gmg290615"
"-250631","Y",""
"-250632","N",""
"-250633","Y","OTC V2.0"
"-250750","Y",""
"-250751","N/A",""
"-250752","Y",""
"-250753","N/A",""
"-250754","Y","GMG 290103"
"-250755","N/A","Subsea well"
"-250756","N",""
"-250757","N/A","Version 2.0 
Please reference Alt. Compliance"
"-251058","Y",""
"-251059","Y",""
"-251060","Y",""
"-251061","N/A",""
"-251062","Y","GMG 290006"
"-251063","N/A","Subsea Well"
"-251064","N",""
"-251065","N/A",""
"-251066","Y",""
"-250502","Y",""
"-250503","N","Cuttings will be discharged per EPA discharge permit"
"-250504","N/A","Sidetrack"
"-250505","N/A",""
"-250506","Y","GMG 29062A"
"-250507","N/A","Open Water"
"-250508","N",""
"-250509","Y","OTC Greenlight Version 2.0 or higher"
"-250591","Y",""
"-250592","Y",""
"-250593","N/A",""
"-250594","Y","GMG 290006"
"-250595","N/A","Subsea Well"
"-250596","N",""
"-250597","N/A",""
"-251042","Y",""
"-250518","Y",""
"-250519","Y",""
"-250520","N/A","This well was batch set down to the 22"" casing. No further riserless drilling planned."
"-250521","N/A",""
"-250542","Y","GMG 290103"
"-250543","N","Please see attached approval letter."
"-250544","N",""
"-250545","Y","EZ chart 2.0 or newer"
"-250590","Y",""
"-251043","Y",""
"-251044","Y",""
"-251045","N/A",""
"-251046","Y","GMG290110"
"-251047","N/A","Subsea Well"
"-251048","N",""
"-251049","Y","IPT Global's SureTec, Version 4"
"-252675","Y",""
"-252676","N/A",""
"-252677","N/A",""
"-252678","Y","GMG 290103"
"-252679","N/A","Subsea Well"
"-252680","N",""
"-252681","Y","EZ Chart 2.0 "
"-252690","Y",""
"-252566","Y",""
"-252567","Y",""
"-252568","N/A",""
"-252569","N/A",""
"-252570","Y","GMG 290312"
"-252571","N/A",""
"-252572","N",""
"-252573","Y","Sur Tec"
"-252674","Y",""
"-252691","N/A","WBM will be used"
"-252692","N/A",""
"-252693","N/A",""
"-252694","Y","GMG290618"
"-252695","Y",""
"-252696","N",""
"-252697","N/A","Tests will be charted."
"-252698","Y",""
"-252699","Y",""
"-252700","N/A",""
"-252701","N/A",""
"-252722","Y","GMG 290103"
"-252723","N/A",""
"-252724","N",""
"-252725","Y","EZ Chart Version 2"
"-253255","N/A",""
"-253256","N","The WCD is attached with the WCST"
"-253257","Y","IPT Suretec Version 4"
"-233789","Y","IPT SureTec Digital BOP Test Method Version 3.1 and/or 4.0."
"-233814","Y","Sufficient barite to weight up active system 0.5 ppg"
"-233815","Y",""
"-233816","Y",""
"-233817","N/A",""
"-233818","Y","GMG290184"
"-233819","N/A",""
"-233820","N",""
"-233821","Y","Suretec Version 4.0"
"-233822","Y",""
"-233823","Y",""
"-233824","N/A",""
"-233825","N/A",""
"-232286","Y",""
"-232287","Y",""
"-232288","Y",""
"-232289","N/A","Subsea Well. No Conductor to be used."
"-232290","Y","GMG290089"
"-232291","N/A",""
"-232292","N",""
"-232293","Y","Suretec Version 4"
"-232590","Y",""
"-232591","Y",""
"-232592","Y",""
"-232593","N/A",""
"-232594","Y","GMG 290629"
"-232595","N/A",""
"-232596","N",""
"-232597","Y","OTC Greenlight v2.0 or greater"
"-232662","Y",""
"-232663","Y",""
"-232664","N/A",""
"-232665","N/A",""
"-232666","Y","GMG290376"
"-232667","N","A-1, A-3, A-10, A-20, & A-24 will be shut in as per the attached approval"
"-232668","N",""
"-232669","Y","OTC Greenlight 2.0"
"-232806","Y",""
"-232807","Y","Synthetic Based mud will be used; zero discharge procedures will only be used if Retention on Cuttings (ROC) does not pass as
per EPA's NPDES effluent limitations for SBM discharges."
"-232808","Y",""
"-232809","N/A",""
"-232810","Y","GMG290006"
"-232811","N/A","Subsea Well"
"-232812","N",""
"-232813","Y","OTC Greenlight v2.0"
"-232294","Y",""
"-232295","Y","Synthetic Based mud will be used; zero discharge procedures will only be used if Retention on Cuttings (ROC) does not pass as
per EPA's NPDES effluent limitations for SBM discharges."
"-232296","Y",""
"-232297","N/A",""
"-232298","Y","GMG290006"
"-232299","N/A","Subsea Well"
"-232300","N",""
"-232301","Y","OTC Greenlight v2.0"
"-232338","Y",""
"-232339","Y",""
"-232340","Y",""
"-232341","N/A",""
"-232362","Y","GMG 290629"
"-232363","N/A",""
"-232364","N",""
"-232365","Y","OTC Greenlight v2.0 or greater"
"-232678","Y",""
"-232679","Y",""
"-232680","N/A",""
"-232681","N/A",""
"-232702","Y","GMG290103"
"-232703","N/A","Subsea Well"
"-232704","N",""
"-232705","Y","EZ Chart 2"
"-232814","Y",""
"-232815","Y",""
"-232816","N/A",""
"-232817","N/A",""
"-232818","Y","GMG290103"
"-232819","N","Continuous from drilling/plugback operations "
"-232820","N",""
"-232821","Y","EZ Chart V2"
"-233510","Y",""
"-233511","Y",""
"-233512","Y",""
"-233513","N/A",""
"-232745","N/A",""
"-232746","Y","GMG 290103"
"-232747","N/A","Subsea Well"
"-232748","N",""
"-232749","Y","EZ Chart V2. Also, please see email ""a2. EZ Chart Low Pressure Test Update - NGTI and NGTII 7.17.2020"" regarding update to the EZ Chart pressure test criterion for the LOW Pressure BOP tests."
"-232744","Y",""
"-232750","Y",""
"-232751","Y",""
"-232418","Y",""
"-232419","Y",""
"-232420","Y",""
"-232421","N/A","Subsea well. No conductor to be used."
"-232422","Y","GMG290089"
"-232423","N/A",""
"-232424","N",""
"-232425","Y","Suretec Version 4"
"-232752","Y",""
"-232753","N/A",""
"-232754","Y","GMG 290629"
"-232755","N/A",""
"-232756","N",""
"-232757","Y","OTC Greenlight v2.0 or greater"
"-232758","Y",""
"-232759","N/A",""
"-232760","Y",""
"-232761","N/A",""
"-232802","Y","GMG 290103"
"-232803","N/A","Subsea Well"
"-232804","N",""
"-232805","N/A","Only riserless work, no BOP required."
"-233010","Y",""
"-233011","Y",""
"-233012","Y",""
"-233013","N/A",""
"-233014","Y","GMG290103"
"-233015","N/A",""
"-233826","Y","GMG290103"
"-233827","N/A",""
"-233828","N",""
"-233829","Y","EZ Chart V2"
"-234342","Y",""
"-234343","Y",""
"-234344","Y",""
"-234345","N/A",""
"-234346","Y","GMG 290103"
"-234347","N/A","Subsea Well"
"-234348","N",""
"-234349","Y","EZ Chart V2. Also, please see email ""a2. EZ Chart Low Pressure Test Update - NGTI and NGTII 7.17.2020"" regarding update to the EZ Chart pressure test criterion for the LOW Pressure Test."
"-235781","N",""
"-235782","Y","GMG 290006"
"-235783","N/A","Subsea well"
"-235784","N",""
"-235785","Y","OTC Greenlight v 2.0"
"-236003","Y",""
"-236004","Y",""
"-236005","N/A",""
"-236006","Y","NPDES Permit #GMG 290132"
"-236007","N/A",""
"-236008","N",""
"-265506","Y",""
"-265507","Y",""
"-265508","Y",""
"-265509","N/A",""
"-265510","Y","GMG290132"
"-265511","N","Please see attachment ""Response to NTL 2009-G25""."
"-265512","N",""
"-235802","Y",""
"-235803","Y",""
"-235804","Y",""
"-235805","N/A",""
"-235806","Y","GMG 290006"
"-236002","Y",""
"-233310","Y",""
"-233311","Y",""
"-233312","N/A",""
"-233313","N/A",""
"-233314","Y","GMG290103"
"-233315","N/A","Subsea well"
"-233316","N",""
"-233317","N/A","Riserless drilling"
"-233922","Y",""
"-233923","Y",""
"-233924","Y",""
"-233925","N/A",""
"-233926","Y","GMG290103"
"-233927","N/A",""
"-233928","N",""
"-233929","Y","EZ Chart V.2"
"-234202","Y","Sufficient barite to weight up active system 0.5 ppg"
"-234203","Y",""
"-234204","Y",""
"-234002","Y",""
"-234003","Y",""
"-234004","Y",""
"-234005","N",""
"-234006","Y","GMG 290103"
"-234007","N/A",""
"-234008","N",""
"-234009","Y","EZ chart version 2"
"-234205","N/A",""
"-234206","Y","GMG290184"
"-234207","N/A",""
"-234208","N",""
"-234209","Y","Suretec Version 4.0"
"-232234","Y",""
"-232235","Y",""
"-232236","Y",""
"-232237","N/A",""
"-232238","Y","NPDES Permit #GMG 290132"
"-232239","N/A",""
"-232240","N",""
"-232241","Y","IPT SureTec Digital BOP Test Method Version 4.0, or latest approved version."
"-232598","Y",""
"-232599","Y","Synthetic Based mud will be used; zero discharge procedures will only be used if Retention on Cuttings (ROC) does not pass as
per EPA's NPDES effluent limitations for SBM discharges."
"-232600","Y",""
"-232601","N/A",""
"-232622","Y","GMG290006"
"-232623","N/A","Subsea Well"
"-232624","N",""
"-232625","Y","OTC Greenlight v2.0"
"-233082","Y",""
"-233083","Y",""
"-233084","Y",""
"-233085","N/A",""
"-233086","Y","GMG 290180"
"-233087","N/A","Open Water"
"-233088","N",""
"-233089","Y","IPT SureTec 3.1 or higher"
"-233514","Y","GMG 290103"
"-233515","N/A",""
"-233516","N",""
"-233517","Y","Please reference attached approval)EZ Chart version 2"
"-235807","N/A","subsea well"
"-235808","N",""
"-235809","Y","OTC Greenlight V2.0"
"-232270","Y",""
"-232271","Y",""
"-232272","Y",""
"-232273","N/A",""
"-232274","Y","NPDES Permit #GMG 290132"
"-232275","N/A",""
"-232276","N",""
"-232277","Y","IPT SureTec Digital BOP Test Method Version 3.1 and/or 4.0."
"-233019","Y",""
"-233020","Y",""
"-233021","N/A",""
"-233016","N",""
"-233017","Y","EZ Chart V2"
"-233018","Y",""
"-233022","Y","NPDES Permit #GMG 290132"
"-233023","N/A",""
"-233024","N",""
"-233025","Y","IPT SureTec Digital BOP Test Method Version 4.0, or latest approved version."
"-233026","Y",""
"-233027","Y",""
"-233028","Y",""
"-233029","N/A",""
"-233030","Y","GMG 290629"
"-233031","N/A",""
"-233032","N",""
"-233033","Y","OTC Greenlight v2.0 or greater"
"-233098","Y",""
"-233099","N/A",""
"-233100","N/A",""
"-233101","N/A",""
"-233122","Y","GMG 290269"
"-233123","Y",""
"-233124","N",""
"-233125","Y","IPT SureTec Version 4"
"-233134","Y",""
"-244726","Y","GMG 290629"
"-244727","N/A",""
"-244728","N",""
"-244729","Y","OTC Greenlight V2.0 or Greater"
"-244766","Y",""
"-244767","Y","Although operations are prepared for zero discharge, we intend to comply with the NPDES general permit requirements."
"-244768","N/A",""
"-244769","N/A",""
"-244770","Y","GMG 290110"
"-244771","N/A","Subsea well"
"-244772","N",""
"-244773","Y","IPT Global's SureTec, Version 4"
"-244847","N/A","Subsea Well"
"-244848","N",""
"-244849","Y","EZ Chart 2.0 "
"-244850","Y",""
"-244851","N",""
"-243449","Y","OTC Greenlight v2.0 or greater"
"-243602","Y",""
"-243603","Y",""
"-243604","Y",""
"-243605","N/A",""
"-243606","Y","NPDES Permit #GMG 290132"
"-243607","N/A",""
"-243608","N",""
"-243609","Y","IPT SureTec Digital BOP Test Method Version 4.0, or latest approved version."
"-243642","Y",""
"-243643","Y",""
"-243644","N/A",""
"-243645","N/A",""
"-243646","Y","GMG 290103"
"-243647","N","Please see attached approval letter."
"-243648","N",""
"-243649","Y","EZ Chart V2 or newer"
"-243682","Y",""
"-243683","Y",""
"-243684","Y",""
"-243685","N/A","Subsea well. No conductor to be used."
"-243686","Y","GMG290089"
"-243687","N/A",""
"-243688","N",""
"-243689","Y","Aquila Pressure Test Software Version 1"
"-243922","Y",""
"-243923","Y",""
"-243924","Y",""
"-243925","N/A",""
"-243926","Y","GMG 290629"
"-243927","N/A",""
"-243928","N",""
"-243929","Y","OTC Greenlight v2.0 or greater"
"-243982","Y",""
"-243983","Y",""
"-243984","Y",""
"-243985","N/A",""
"-245767","N","Please see attachment ""Response to NTL 2009-G25""."
"-245768","N",""
"-245769","Y","IPT Suretec Digital BOP Test Method Version 4.0"
"-245770","Y",""
"-245771","Y",""
"-245772","Y",""
"-245773","N/A",""
"-245774","Y","GMG290103"
"-245775","N","SS well "
"-245776","N",""
"-245777","Y","EZ Chart Version 2.0 "
"-245778","Y",""
"-245779","Y",""
"-245780","Y",""
"-245781","N/A",""
"-245802","Y","GMG 290629"
"-245803","N/A",""
"-245804","N",""
"-245805","Y","OTC Greenlight V2.0 or Greater"
"-246122","Y",""
"-246123","Y",""
"-246124","N/A",""
"-246125","N/A",""
"-246126","Y","GMG 290110"
"-246127","N/A","Subsea Well"
"-246128","N",""
"-246129","Y","IPT Global's SureTec Version 4"
"-246130","Y",""
"-246131","Y",""
"-246132","N/A",""
"-246133","N",""
"-246134","Y","GMG290376"
"-246135","N","A-9 and A-25 will be shut in as per the attached approval"
"-246136","N",""
"-246137","Y","OTC Greenlight 2.0"
"-244362","Y",""
"-244363","Y",""
"-244364","Y",""
"-244365","N/A","Subsea well. No conductor to be used."
"-244366","Y","GMG290089"
"-244367","N/A",""
"-244368","N",""
"-244369","Y","Aquila Pressure Testing Software"
"-245992","N/A",""
"-245993","N/A",""
"-245994","Y","GMG 290110"
"-245995","N/A","Subsea Well"
"-245996","N",""
"-245997","Y","IPT Global's SureTec Version 4"
"-246138","Y",""
"-246139","Y",""
"-246140","N/A",""
"-246141","N/A",""
"-246142","Y","GMG290615"
"-246143","Y",""
"-246144","N",""
"-246145","Y","Greenlight 2.0"
"-246146","Y",""
"-246147","Y",""
"-246148","N/A",""
"-246149","N/A",""
"-246150","Y","GMG290103"
"-246151","N","Please see attachment"
"-246152","N",""
"-246153","Y","EZ Chart V2"
"-246280","N",""
"-246274","Y",""
"-246275","Y",""
"-246276","N/A",""
"-246277","N/A",""
"-246278","Y","GMG290103"
"-246279","N/A","Subsea well"
"-240231","Y",""
"-240232","N/A",""
"-240233","N/A",""
"-240234","Y","GMG290103"
"-240235","N/A","Subsea well"
"-240236","N",""
"-240237","Y","Shell EZ Chart (Digital) "
"-242562","Y",""
"-242563","Y",""
"-242564","N/A",""
"-242565","N/A",""
"-242566","Y","GMG290615"
"-242567","Y",""
"-242568","N",""
"-242569","Y","Greenlight 2.0"
"-244590","Y",""
"-244591","Y","Although operations are prepared for zero discharge, we intend to comply with the NPDES general permit requirements."
"-244592","N/A",""
"-244593","N/A",""
"-244594","Y","GMG 290110"
"-244595","N/A","Subsea well"
"-244596","N",""
"-244597","Y","IPT Global's SureTec, Version 4"
"-244852","N/A",""
"-244853","N/A",""
"-244854","Y","GMG 290269"
"-244855","Y",""
"-244856","N",""
"-244857","Y","IPT SureTec Version 4"
"-244926","Y","Sufficient barite to weight up active system 0.5 ppg"
"-244927","Y",""
"-244928","Y",""
"-244929","N/A",""
"-244930","Y","GMG290184"
"-244931","N/A",""
"-244932","N",""
"-240242","Y",""
"-240243","Y",""
"-240244","Y",""
"-240245","N/A",""
"-240246","Y","GMG290103"
"-240247","N/A","Subsea Well"
"-240248","N",""
"-240249","Y","EZ Chart 2.0 "
"-243802","Y",""
"-243803","Y",""
"-243804","Y",""
"-243805","N/A","Subsea well. No conductor to be used."
"-243806","Y","GMG290089"
"-243807","N/A",""
"-243808","N",""
"-243809","Y","Aquila Pressure Testing Software"
"-243882","Y",""
"-243883","Y",""
"-243884","N/A",""
"-243885","N/A",""
"-243886","Y","GMG290615"
"-243887","Y",""
"-243888","N",""
"-243889","Y","Greenlight Version 2.0"
"-243902","Y",""
"-243903","Y",""
"-243904","Y",""
"-243905","N/A",""
"-243906","Y","GMG290103"
"-243907","N/A","SS well"
"-243908","N",""
"-243909","Y","EZ Chart V2"
"-243986","Y","GMG 290129"
"-243987","N/A",""
"-243988","N",""
"-243989","Y","Aquila Pressure Test Software Version 1.0"
"-240442","Y",""
"-240443","Y",""
"-240444","Y",""
"-240445","N",""
"-240446","Y","GMG 290103"
"-240447","N/A",""
"-240448","N",""
"-240449","Y","EZ chart version 2"
"-242242","Y",""
"-242243","Y",""
"-242244","N/A",""
"-242245","N/A",""
"-242246","Y","GMG290615"
"-242247","Y",""
"-242248","N",""
